Date,Id,Term,Company,Rate,MaxLTV
31/10/2019,,5yr,Coventry BS,1.95,75
31/10/2019,,5yr,HSBC,1.84,75
31/10/2019,,5yr,Leeds BS,2.04,75
31/10/2019,,5yr,Metro Bank,2.34,75
31/10/2019,,5yr,NatWest,1.79,75
31/10/2019,,5yr,Newcastle BS,2.49,75
31/10/2019,,5yr,Nottingham BS,2.1,75
31/10/2019,,5yr,Principality BS,1.99,75
31/10/2019,,5yr,Royal Bank of Scotland,1.85,75
31/10/2019,,5yr,Santander,1.95,75
31/10/2019,,5yr,Skipton BS,2.04,75
31/10/2019,,5yr,Virgin Money,2,75
31/10/2019,,5yr,Yorkshire Bank,2.04,75
31/10/2019,,5yr,Yorkshire Building Society,1.91,75
30/11/2019,,2yr,Bank of Ireland UK,1.56,75
30/11/2019,,2yr,Barclays Mortgage,1.35,75
30/11/2019,,2yr,Clydesdale Bank,1.39,75
30/11/2019,,2yr,Coventry BS,1.49,75
30/11/2019,,2yr,HSBC,1.29,75
30/11/2019,,2yr,Leeds BS,1.39,75
30/11/2019,,2yr,Metro Bank,2.09,75
30/11/2019,,2yr,NatWest,1.25,75
30/11/2019,,2yr,Newcastle BS,1.99,75
30/11/2019,,2yr,Nottingham BS,1.54,75
30/11/2019,,2yr,Principality BS,1.43,75
30/11/2019,,2yr,Royal Bank of Scotland,1.25,75
30/11/2019,,2yr,Santander,1.29,75
30/11/2019,,2yr,Skipton BS,1.59,75
30/11/2019,,2yr,Virgin Money,1.7,75
30/11/2019,,2yr,Yorkshire Bank,1.54,75
30/11/2019,,2yr,Yorkshire Building Society,1.52,75
30/11/2019,,5yr,Bank of Ireland UK,1.98,75
30/11/2019,,5yr,Barclays Mortgage,1.78,75
30/11/2019,,5yr,Clydesdale Bank,1.83,75
30/11/2019,,5yr,Coventry BS,1.89,75
30/11/2019,,5yr,HSBC,1.84,75
30/11/2019,,5yr,Leeds BS,1.96,75
30/11/2019,,5yr,Metro Bank,2.34,75
30/11/2019,,5yr,NatWest,1.79,75
30/11/2019,,5yr,Newcastle BS,2.49,75
30/11/2019,,5yr,Nottingham BS,1.85,75
30/11/2019,,5yr,Principality BS,1.9,75
30/11/2019,,5yr,Royal Bank of Scotland,1.85,75
30/11/2019,,5yr,Santander,1.89,75
30/11/2019,,5yr,Skipton BS,2.01,75
30/11/2019,,5yr,Virgin Money,2,75
30/11/2019,,5yr,Yorkshire Bank,2.04,75
30/11/2019,,5yr,Yorkshire Building Society,1.91,75
31/12/2019,,2yr,Bank of Ireland UK,1.48,75
31/12/2019,,2yr,Barclays Mortgage,1.32,75
31/12/2019,,2yr,Clydesdale Bank,1.49,75
31/12/2019,,2yr,Coventry BS,1.49,75
31/12/2019,,2yr,HSBC,1.34,75
31/12/2019,,2yr,Leeds BS,1.39,75
31/12/2019,,2yr,Metro Bank,2.09,75
31/12/2019,,2yr,NatWest,1.25,75
31/12/2019,,2yr,Newcastle BS,1.99,75
31/12/2019,,2yr,Nottingham BS,1.54,75
31/12/2019,,2yr,Principality BS,1.43,75
31/12/2019,,2yr,Royal Bank of Scotland,1.25,75
31/12/2019,,2yr,Santander,1.44,75
31/12/2019,,2yr,Skipton BS,1.58,75
31/12/2019,,2yr,Virgin Money,1.7,75
31/12/2019,,2yr,Yorkshire Bank,1.54,75
31/12/2019,,2yr,Yorkshire Building Society,1.29,75
31/12/2019,,5yr,Bank of Ireland UK,1.91,75
31/12/2019,,5yr,Barclays Mortgage,1.78,75
31/12/2019,,5yr,Clydesdale Bank,1.83,75
31/12/2019,,5yr,Coventry BS,1.89,75
31/12/2019,,5yr,HSBC,1.79,75
31/12/2019,,5yr,Leeds BS,1.88,75
31/12/2019,,5yr,Metro Bank,2.34,75
31/12/2019,,5yr,NatWest,1.79,75
31/12/2019,,5yr,Newcastle BS,2.49,75
31/12/2019,,5yr,Nottingham BS,1.85,75
31/12/2019,,5yr,Principality BS,1.9,75
31/12/2019,,5yr,Royal Bank of Scotland,1.85,75
31/12/2019,,5yr,Santander,1.95,75
31/12/2019,,5yr,Skipton BS,1.94,75
31/12/2019,,5yr,Virgin Money,2,75
31/12/2019,,5yr,Yorkshire Bank,2.04,75
31/12/2019,,5yr,Yorkshire Building Society,1.91,75
31/01/2020,,2yr,Bank of Ireland UK,1.48,75
31/01/2020,,2yr,Barclays Mortgage,1.32,75
31/01/2020,,2yr,Clydesdale Bank,1.49,75
